elm,willow,poplar,hazel,alder,oak,beech,birch,mugwort,ragweed,plantain,sorrel,rye,grass,date
0,0,0,0,0,0,0,0,1,0,3,3,0,3,2021-07-16
0,0,0,0,0,0,0,0,1,0,2,2,0,2,2021-07-15
0,0,0,0,0,0,0,0,1,0,2,2,0,2,2021-07-14
0,0,0,0,0,0,0,0,1,0,3,3,0,3,2021-07-13
0,0,0,0,0,0,0,0,1,0,2,2,0,2,2021-07-12
0,0,0,0,0,0,0,0,1,0,2,2,0,2,2021-07-11
0,0,0,0,0,0,0,0,1,0,3,3,0,3,2021-07-10
0,0,0,0,0,0,0,0,0,0,1,1,0,1,2021-07-09
0,0,0,0,0,0,0,0,0,0,2,2,0,2,2021-07-08
0,0,0,0,0,0,0,0,0,0,3,3,0,3,2021-07-07
0,0,0,0,0,0,0,0,0,0,2,2,0,2,2021-07-06
0,0,0,0,0,0,0,0,0,0,2,2,0,2,2021-07-05
0,0,0,0,0,0,0,0,0,0,2,2,0,2,2021-07-04
0,0,0,0,0,0,0,0,0,0,3,3,0,3,2021-07-03
0,0,0,0,0,0,0,0,0,0,3,3,0,3,2021-07-02
0,0,0,0,0,0,0,0,0,0,1,1,0,1,2021-07-01
0,0,0,0,0,0,0,0,0,0,2,2,0,2,2021-06-30
0,0,0,0,0,0,0,0,0,0,2,1,1,2,2021-06-29
0,0,0,0,0,0,0,0,0,0,3,2,1,3,2021-06-28
0,0,0,0,0,0,0,0,0,0,3,2,1,3,2021-06-27
0,0,0,0,0,0,0,0,0,0,3,2,1,3,2021-06-26
0,0,0,0,0,0,0,0,0,0,3,2,1,3,2021-06-25
0,0,0,0,0,0,0,0,0,0,3,2,1,3,2021-06-24
